channel_id,name,direction,supported_languages,typical_personas,typical_distance_band_inbound,triage_rule,response_sla_band,response_owner_role,linked_topic_ids,notes
CHAN-LINKEDIN-DM,LinkedIn direct message,bidirectional,en;es;fr,PERSONA-INVESTOR-COLD;PERSONA-ADVISOR-COLD;PERSONA-VENDOR-INBOUND;PERSONA-RANDOM-INBOUND;PERSONA-TALENT-INBOUND,N4,Acknowledge in 48h; ask qualifying question if persona is unclear; route to founder if PERSONA-INVESTOR-* or PERSONA-IDEA-PROPOSER,48h,PMO,topic_channel_touchpoint_registry,"Initiative 31 P3 seed. Cold dominant; warm exceptions arrive when sender references a bridge person."
CHAN-LINKEDIN-POST-RESPONSE,LinkedIn post response or comment,inbound,en;es;fr,PERSONA-INVESTOR-COLD;PERSONA-RANDOM-INBOUND;PERSONA-PRESS,N3-N4,Public visibility; respond per brand voice; never share confidential info,7d,Brand Manager,topic_channel_touchpoint_registry,"Brand-surface-sensitive; prefer public response over private DM unless confidentiality required."
CHAN-EMAIL-INBOUND,Email inbound (holistika@),inbound,en;es;fr,PERSONA-INVESTOR-WARM;PERSONA-ADVISOR-REFERRAL;PERSONA-PARTNER-JOINT-EQUITY;PERSONA-CUSTOMER-SERVICE-PROSPECT;PERSONA-CUSTOMER-KIRBE-PROSPECT;PERSONA-RANDOM-INBOUND,N1-N4,Auto-acknowledge in 24h; route to handoff_role per persona; ask for bridge confirmation when typical_distance_band >= N2,24h,PMO,topic_channel_touchpoint_registry,"The widest-range channel: anything from N1 known-counterparty to N4 cold form-spam can land here."
CHAN-WEB-FORM,Web contact form on holistikaresearch.com,inbound,en;es;fr,PERSONA-CUSTOMER-KIRBE-PROSPECT;PERSONA-TALENT-INBOUND;PERSONA-RANDOM-INBOUND,N4,Auto-respond with intake template; route to PMO for triage within 7d; require qualifying answer before scheduling,7d,PMO,topic_channel_touchpoint_registry,"Cold by definition; the form is the canonical N4 channel."
CHAN-CAL-SCHEDULE,Cal.com scheduling link,inbound,en;es;fr,PERSONA-EXISTING-CUSTOMER;PERSONA-EXISTING-PARTNER;PERSONA-INVESTOR-WARM;PERSONA-ADVISOR-REFERRAL;PERSONA-IDEA-PROPOSER,N1,Link is shared deliberately; assumed deep context; default to call as scheduled,immediate,Founder,topic_channel_touchpoint_registry,"N1 by deliberate sharing of the link; if a Cal booking arrives from someone unknown investigate first."
CHAN-AD-CAMPAIGN,Paid ad → landing page,inbound,en;es;fr,PERSONA-CUSTOMER-KIRBE-PROSPECT;PERSONA-RANDOM-INBOUND,N4,Lead-form intake; KiRBe waitlist or service-prospect intake; route to PMO,7d,PMO,topic_channel_touchpoint_registry,"Future channel (no live ads today); treat as cold N4 inbound when activated."
CHAN-SEARCH-ORGANIC,Google search → site,inbound,en;es;fr,PERSONA-CUSTOMER-KIRBE-PROSPECT;PERSONA-CUSTOMER-SERVICE-PROSPECT;PERSONA-PRESS;PERSONA-RANDOM-INBOUND,N4,Same as web form; site SEO is the front door; intake form catches qualified prospects,7d,PMO,topic_channel_touchpoint_registry,"Organic SEO; founder testimony notes Google indexing brings random visitors."
CHAN-DIRECT-DM,Direct DM (WhatsApp / SMS / personal email),bidirectional,en;es;fr,PERSONA-EXISTING-CUSTOMER;PERSONA-EXISTING-PARTNER;PERSONA-IDEA-PROPOSER;PERSONA-VENDOR-OUTBOUND;PERSONA-INVESTOR-WARM;PERSONA-ADVISOR-REFERRAL,N1-N2,Personal channel; assumed mutual contact; respond same-day if message is operational,24h,Founder,topic_channel_touchpoint_registry,"Bidirectional; founder uses for both inbound from N1-N2 trusted contacts and outbound vendor sourcing."
CHAN-PARTNER-REFERRAL,Inbound via partner referral,inbound,en;es;fr,PERSONA-PARTNER-JOINT-EQUITY;PERSONA-PARTNER-SUBCONTRACT;PERSONA-CUSTOMER-SERVICE-PROSPECT;PERSONA-INVESTOR-WARM,N2,Partner forwards in; first response references the partner as bridge; tighter SLA than cold,24h,Founder,topic_channel_touchpoint_registry,"By definition N2 (the partner is the bridge). Highest conversion of any inbound channel."
CHAN-EVENT-MEETING,In-person or virtual event meeting,bidirectional,en;es;fr,PERSONA-INVESTOR-COLD;PERSONA-INVESTOR-WARM;PERSONA-PARTNER-JOINT-EQUITY;PERSONA-PRESS;PERSONA-CUSTOMER-SERVICE-PROSPECT,N1-N3,Live-context conversation; capture the contact in GOI/POI register within 24h with assessed distance band; follow up with persona-matched intro pack within 1 week,1w follow-up,Founder,topic_channel_touchpoint_registry,"Founder-attended events; distance assessment happens at the event itself."
