type,orientation,entity,area,role_parent_1,role_owner,item_parent_2,item_parent_2_id,item_parent_1,item_parent_1_id,item_name,item_id,item_granularity,time_hours_par,time_hours_min,time_hours_max,description,instructions,addundum_extras,confidence,count_name,frequency,quality,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review,m3_sub_area,engagement_template_id,persona_id,cadence_type,min_rev_value_eur,par_rev_value_eur,max_rev_value_eur,inherited_pattern_id
Internal,Employee,Holistika,Research,Holistik Researcher,Holistik Researcher,,,,,Holistika Research and Methodology,hol_resea_prj_1,project,,,,,,,3,1,high,3,2026-05-14,Holistik Researcher,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,Holistika,People,People,CPO,,,,,Holistika People and Organisational Development,hol_peopl_prj_1,project,,,,,,,3,1,high,3,2026-05-14,CPO,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,Think Big,MKT,CMO,CMO,,,,,Think Big Channel and Marketing Operations,thi_mkt_prj_1,project,,,,,,,3,1,high,3,2026-05-14,CMO,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,Think Big,Operations,PMO,COO,,,,,Think Big Operational Excellence,thi_opera_prj_1,project,,,,,,,3,1,high,3,2026-05-14,COO,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,Think Big,Operations,COO,PMO,Think Big Operational Excellence,thi_opera_prj_1,Think Big Operational Excellence,thi_opera_prj_1,Think Big PMO and operating model program,hlk_prog_think_big_pmo,workstream,,,,"Groups PMO-aligned GTM operating workstreams (services, GTM entity, internal controls). Engage stays a direct child of the project.",,Pattern 3 program layer; see trello-list-to-workstream-matrix.md,2,1,high,3,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,Think Big,Finance,CFO,CFO,,,,,Think Big Finance Architecture,thi_finan_prj_1,project,,,,,,,3,1,high,3,2026-05-14,CFO,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,Think Big,Legal,Legal Counsel,Legal Counsel,,,,,Think Big Legal Compliance,thi_legal_prj_1,project,,,,,,,3,1,high,3,2026-05-14,Legal Counsel,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,HLK Tech Lab,Tech,CTO,CTO,,,,,KiRBe Platform,env_tech_prj_2,project,,,,,,,3,1,high,3,2026-05-14,CTO,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,HLK Tech Lab,Tech,CTO,CTO,,,,,MADEIRA Platform,env_tech_prj_3,project,,,,,,,3,1,high,3,2026-05-14,CTO,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,HLK Tech Lab,Tech,CTO,AI Engineer,MADEIRA Platform,env_tech_prj_3,MADEIRA Platform,env_tech_prj_3,MADEIRA product and research program,hlk_prog_madeira_product_research,workstream,,,,"Groups MADEIRA radar, product planning, sales collateral, and benchmarking workstreams under one program.",,Pattern 3 program layer; see docs/wip/planning/02-hlk-on-akos-madeira/reports/trello-list-to-workstream-matrix.md,2,1,high,3,2026-05-14,AI Engineer,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,HLK Tech Lab,Tech,CTO,AI Engineer,MADEIRA Platform,env_tech_prj_3,MADEIRA Platform,env_tech_prj_3,MADEIRA engineering and UX program,hlk_prog_madeira_engineering_ux,workstream,,,,Groups MADEIRA UX capability and DevOps/CI/CD delivery workstreams.,,Pattern 3 program layer; see trello-list-to-workstream-matrix.md,2,1,high,3,2026-05-14,AI Engineer,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,HLK Tech Lab,Tech,System Owner,System Owner,MADEIRA Platform,env_tech_prj_3,MADEIRA Platform,env_tech_prj_3,MADEIRA quality and verdict management,env_tech_ws_madeira_quality,workstream,,,,Governed MADEIRA verdict cadence dossier emits scenario lifecycle telemetry loop UX critique per Initiative 49.,,D-IH-49-B vault SOPs cite child env_tech_dtp_madeira_* processes.,2,1,high,3,2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,HLK Tech Lab,Tech,System Owner,System Owner,MADEIRA Platform,env_tech_prj_3,MADEIRA quality and verdict management,env_tech_ws_madeira_quality,MADEIRA verdict review (weekly),env_tech_dtp_madeira_verdict,process,,,,Three-light MADEIRA GO / NO-GO verdict review dossier Sections 1 and 11 MADEIRA-filtered cadence weekly.,,SOP-MADEIRA_VERDICT_AND_CADENCE_001 verification section.,2,1,high,3,2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,HLK Tech Lab,Tech,DevOPS,DevOPS,MADEIRA Platform,env_tech_prj_3,MADEIRA quality and verdict management,env_tech_ws_madeira_quality,MADEIRA dossier emit (cadence-bound),env_tech_dtp_madeira_dossier,process,,,,Run render_uat_dossier MADEIRA-filtered modes per verdict cadence and archive manifest.,,SOP-MADEIRA_VERDICT_AND_CADENCE_001 dossier clauses.,2,1,high,3,2026-05-14,DevOPS,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,HLK Tech Lab,Tech,System Owner,System Owner,MADEIRA Platform,env_tech_prj_3,MADEIRA quality and verdict management,env_tech_ws_madeira_quality,MADEIRA incident response (event-driven),env_tech_dtp_madeira_incident,process,,,,Triage log-watcher regressions escalate quarantine scenarios per incident ladder.,,SOP-MADEIRA_INCIDENT_RESPONSE_001 verification section.,2,1,high,3,2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,HLK Tech Lab,Tech,AI Engineer,AI Engineer,MADEIRA Platform,env_tech_prj_3,MADEIRA quality and verdict management,env_tech_ws_madeira_quality,MADEIRA scenario lifecycle (promote quarantine deprecate),env_tech_dtp_madeira_lifecycle,process,,,,Registry edits for PERSONA_SCENARIO_REGISTRY lifecycle gates operator approval.,,SOP-MADEIRA_SCENARIO_LIFECYCLE_001 verification section.,2,1,high,3,2026-05-14,AI Engineer,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,HLK Tech Lab,Tech,AI Engineer,AI Engineer,MADEIRA Platform,env_tech_prj_3,MADEIRA quality and verdict management,env_tech_ws_madeira_quality,MADEIRA telemetry registry feedback loop,env_tech_dtp_madeira_telemetry,process,,,,Telemetry-derived JSON proposals Langfuse spans operator review merges.,,SOP-MADEIRA_SCENARIO_LIFECYCLE_001 telemetry clauses.,2,1,high,3,2026-05-14,AI Engineer,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,HLK Tech Lab,Tech,System Owner,System Owner,MADEIRA Platform,env_tech_prj_3,MADEIRA quality and verdict management,env_tech_ws_madeira_quality,MADEIRA quarterly UX review (Impeccable),env_tech_dtp_madeira_uxreview,process,,,,Quarterly critique static madeira_control WebChat accessibility i18n bar.,,SOP-MADEIRA_UX_REVIEW_001 verification section.,2,1,high,3,2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,HLK Tech Lab,Tech,CTO,CTO,,,,,HLK Infrastructure and DevOPS,env_tech_prj_4,project,,,,,,,3,1,high,3,2026-05-14,CTO,D-IH-71-CLOSURE,v3.0,,,,,,,,
Internal,Employee,HLK Tech Lab,Data,Data Governance Lead,CDO,,,,,HLK Data Governance,thi_data_prj_1,project,,,,,,,3,1,high,3,2026-05-14,CDO,D-IH-71-CLOSURE,v3.0,,,,,,,,
